,polygon,hex_index,Total_population,Percent_females,Median_age,Percent_white,Percent_black,Median_household_income,Total_housing_units,Percent_occupied_housing_units,Percent_housing_units_rented,Percent_unemployed,Population_above_16,Ethnic_diversity,Percent_single_parent_houshold
0,"POLYGON ((-76.5908580977363 39.32608393318438, -76.59699492062948 39.32490778636213, -76.5986622781304 39.3204865074786, -76.59419372379195 39.31724165333148, -76.58805782381663 39.3184175349487, -76.5863895553534 39.32283853588345, -76.5908580977363 39.32608393318438))",882aa8c2d5fffff,898.4099157299721,51.41943545276424,34.35471219768843,11.204232177186478,73.04090851677103,76186.53733700592,407.5987757883128,76.53523280638336,39.33717294820044,13.403370208981295,653.7505384775337,0.2921703824744272,54.31540997145461
1,"POLYGON ((-76.5568265458792 39.3408031290923, -76.5629660782069 39.33962854675229, -76.56463710871758 39.3352068906418, -76.56016951786609 39.33196009546838, -76.55403090964575 39.33313441317168, -76.55235896826127 39.33755579065053, -76.5568265458792 39.3408031290923))",882aa8d53bfffff,1036.946275206716,56.58980289141821,40.104332068233994,12.494304312138203,82.97448567010305,55017.59382820737,434.0575292168249,89.53149023662044,28.787512505923225,3.282182263719781,828.8781305223574,0.23679810911434793,38.8359945291385
2,"POLYGON ((-76.63890686448455 39.349688980092466, -76.64504558812251 39.348509941895415, -76.64670931404844 39.34408655983578, -76.64223522921466 39.34084249311886, -76.6360974285363 39.34202126512757, -76.63443278982349 39.34644437000678, -76.63890686448455 39.349688980092466))",882aa8c233fffff,834.0386762471609,57.22462527007841,52.087165843373164,75.87039075008576,12.81834153439746,130795.70988506418,433.9601653047566,96.94758192077201,19.051240309356853,4.1668460412725805,720.7580852930649,0.33327327856687605,13.265861289720608
3,"POLYGON ((-76.55625010651409 39.31220521308965, -76.5623859602072 39.311031099555876, -76.56405603963252 39.30661115190226, -76.5595911752238 39.30336559626272, -76.55345624453739 39.30453944528702, -76.55178525534456 39.30895911442578, -76.55625010651409 39.31220521308965))",882aa8d5a9fffff,1118.0218005100828,56.28177436672825,49.42064163583376,51.56923371676452,26.718710322481844,47324.590202753076,615.7302756285591,93.02490385896739,50.916836777297725,3.47390475050021,943.616698755014,0.43609419235340235,93.13667436659722
4,"POLYGON ((-76.66294927203744 39.36148696293591, -76.66908894308054 39.36030647735194, -76.67075084930312 39.355882045018326, -76.66627399827318 39.352638375029045, -76.66013525020861 39.3538185939328, -76.65847243028678 39.35824274947122, -76.66294927203744 39.36148696293591))",882aa8c049fffff,958.5212733178269,59.63515841812466,53.06906591671162,55.20916746906461,33.608716374667715,63134.383489305954,485.31287092814875,80.28482469801722,45.960336546906014,0.6708372551999018,751.4385142268613,0.3736756823936128,40.80061722394911
5,"POLYGON ((-76.59365927625798 39.33375105965575, -76.59979702231583 39.3325746475454, -76.6014643888009 39.32815287194994, -76.59699492062948 39.32490778636213, -76.5908580977363 39.32608393318438, -76.5891898199414 39.33050543084791, -76.59365927625798 39.33375105965575))",882aa8c2c3fffff,1127.5096721659352,56.634392166611775,41.28864225147459,11.233705225592338,79.60680327131386,55179.90522442099,518.5665332517257,88.82631419569282,40.54395547449597,9.275719780005346,889.5832786471868,0.2632723823619003,61.38013408415586
6,"POLYGON ((-76.68851002762575 39.32373676524109, -76.69464421030713 39.322555520462615, -76.69630242562145 39.31813296223972, -76.69182737108106 39.31489192492451, -76.68569410944623 39.3160729027074, -76.68403498139624 39.32049518476623, -76.68851002762575 39.32373676524109))",882aa8c039fffff,1533.405932383309,55.193477127931715,35.22340505301396,4.4602229933326205,88.77394633061877,87398.4752917009,651.6768321450791,86.63961476538923,59.0384067695332,2.45979659199756,1036.0327257119875,0.17170905080209656,29.65355369267301
7,"POLYGON ((-76.54894873475536 39.21116455090218, -76.55507173975171 39.209992373448436, -76.55673895184803 39.20557855380911, -76.55228406480994 39.20233718978561, -76.54616197903883 39.203509103277085, -76.54449386117157 39.207922644719886, -76.54894873475536 39.21116455090218))",882aa8c457fffff,189.0,26.455026455026456,25.7,100.0,0.0,,67.0,100.0,100.0,48.201438848920866,189.0,0.0,
8,"POLYGON ((-76.58186859920424 39.27450362128277, -76.58799898206723 39.27332874089827, -76.58966536537305 39.268910663120295, -76.58520227472336 39.26566774357504, -76.57907281294106 39.2668423591314, -76.57740552081896 39.27126015902661, -76.58186859920424 39.27450362128277))",882aa8c709fffff,3008.6948813917525,50.10271718562199,33.44354521594693,72.65756403752555,12.492242100763315,143144.9724955653,1736.3810646329794,89.42532200078861,45.94247243708593,2.206410299749085,2523.045077789153,0.415754430320419,12.805702211595483
9,"POLYGON ((-76.5517363887295 39.218820730140564, -76.5578603131967 39.21764828864189, -76.5595275356044 39.21323397122292, -76.55507173975171 39.209992373448436, -76.54894873475536 39.21116455090218, -76.5472806062319 39.21557859014088, -76.5517363887295 39.218820730140564))",882aa8c455fffff,188.9913331452055,26.457411956439383,25.702449328528882,99.9924636045265,0.007536395473494356,,66.9984927209053,100.0,100.0,48.1978061978653,188.9913331452055,0.0,
