,hex_index,nighttime_business_proportion,nighttime_business_mode,poi_diversity
0,882aa8c001fffff,0.0,0.0,0.4854412812519841
1,882aa8c003fffff,0.3333333333333333,0.0,0.6059936759662254
2,882aa8c005fffff,0.3333333333333333,0.0,0.6320855188142512
3,882aa8c007fffff,0.1428571428571428,0.0,0.2910061319627437
4,882aa8c009fffff,0.375,0.0,0.805483118801476
5,882aa8c00bfffff,0.3333333333333333,0.0,0.6038325404840602
6,882aa8c00dfffff,0.2727272727272727,0.0,0.6650120081712934
7,882aa8c011fffff,0.2,0.0,0.5832467371436502
8,882aa8c013fffff,0.3333333333333333,0.0,0.7447808278469437
9,882aa8c015fffff,0.125,0.0,0.5205612916233403
10,882aa8c017fffff,0.2857142857142857,0.0,0.7318085157185911
11,882aa8c019fffff,0.1666666666666666,0.0,0.8246435478877642
12,882aa8c01bfffff,0.3333333333333333,0.0,0.8141554959002755
13,882aa8c01dfffff,0.0,0.0,0.4193785204923006
14,882aa8c02bfffff,0.0,0.0,0.3312870799597857
15,882aa8c033fffff,0.0,0.0,0.074412727566981
16,882aa8c039fffff,0.0,0.0,0.3785088307630737
17,882aa8c03bfffff,0.0,0.0,0.2504235007052706
18,882aa8c041fffff,0.5833333333333334,1.0,0.7289279842064813
19,882aa8c043fffff,0.1333333333333333,0.0,0.7851121715626621
20,882aa8c045fffff,0.4,0.0,0.7776677262271445
21,882aa8c047fffff,0.238095238095238,0.0,0.7467714365006995
22,882aa8c049fffff,0.0,0.0,0.0450829200356639
23,882aa8c04bfffff,0.2,0.0,0.4238893950597716
24,882aa8c04dfffff,1.0,1.0,0.5541706853435854
25,882aa8c051fffff,0.6666666666666666,1.0,0.6475883485970628
26,882aa8c053fffff,0.0,0.0,0.561514811922309
27,882aa8c055fffff,0.4090909090909091,0.0,0.7460931232084181
28,882aa8c057fffff,0.0,0.0,0.591615558223309
29,882aa8c059fffff,0.1428571428571428,0.0,0.6486727533891834
30,882aa8c05bfffff,0.2884615384615384,0.0,0.8428007934745381
31,882aa8c05dfffff,0.0,0.0,0.6420027083844295
32,882aa8c061fffff,0.3823529411764705,0.0,0.6821268078806251
33,882aa8c063fffff,0.3636363636363636,0.0,0.6233810835056811
34,882aa8c069fffff,0.1333333333333333,0.0,0.6095045559417231
35,882aa8c06bfffff,0.1780821917808219,0.0,0.7781655214292098
36,882aa8c06dfffff,0.2705882352941176,0.0,0.732670562198889
37,882aa8c081fffff,0.1,0.0,0.6673840586984663
38,882aa8c083fffff,0.1428571428571428,0.0,0.6849044139641873
39,882aa8c085fffff,0.4615384615384615,0.0,0.7000189524277911
40,882aa8c087fffff,0.2926829268292683,0.0,0.409671948560027
41,882aa8c089fffff,0.1379310344827586,0.0,0.7767389728921045
42,882aa8c08bfffff,0.1764705882352941,0.0,0.7171795470558272
43,882aa8c08dfffff,0.2857142857142857,0.0,0.7292826503055654
44,882aa8c091fffff,0.5,0.0,0.5966337100655815
45,882aa8c095fffff,0.3,0.0,0.8437973970989243
46,882aa8c099fffff,0.25,0.0,0.6217104431972375
47,882aa8c09bfffff,0.1875,0.0,0.8924235399999211
48,882aa8c09dfffff,0.3846153846153846,0.0,0.6644904060610837
49,882aa8c0a1fffff,0.5,0.0,0.4781727319304704
50,882aa8c0a9fffff,0.3333333333333333,0.0,0.7231448240634837
51,882aa8c0abfffff,1.0,1.0,0.2148856875357055
52,882aa8c0adfffff,0.4,0.0,0.5540939216607712
53,882aa8c0b9fffff,0.2727272727272727,0.0,0.7921447937772694
54,882aa8c0c1fffff,0.2666666666666666,0.0,0.7372566978081395
55,882aa8c0c3fffff,0.3076923076923077,0.0,0.7138774417405771
56,882aa8c0c5fffff,0.6666666666666666,1.0,0.7141648299450524
57,882aa8c0c7fffff,0.4545454545454545,0.0,0.6897262893067992
58,882aa8c0c9fffff,0.2222222222222222,0.0,0.7355556018480987
59,882aa8c0cbfffff,0.1666666666666666,0.0,0.6434818217459707
60,882aa8c0cdfffff,0.2,0.0,0.6786541141591077
61,882aa8c0d1fffff,0.3793103448275862,0.0,0.8886419680457968
62,882aa8c0d3fffff,0.4782608695652174,0.0,0.8032428764409887
63,882aa8c0d5fffff,0.3548387096774194,0.0,0.7212100384592693
64,882aa8c0d7fffff,0.25,0.0,0.7783003545528081
65,882aa8c0d9fffff,0.2878787878787879,0.0,0.8227576399816816
66,882aa8c0dbfffff,0.1818181818181818,0.0,0.8289242571934556
67,882aa8c0ddfffff,0.2608695652173913,0.0,0.7896983514289168
68,882aa8c0e1fffff,0.0,0.0,0.7588346332283681
69,882aa8c0e3fffff,0.2,0.0,0.7315870642846678
70,882aa8c0e5fffff,0.4444444444444444,0.0,0.8265578764744506
71,882aa8c0e7fffff,0.375,0.0,0.6786312202955873
72,882aa8c0ebfffff,0.0,0.0,0.7038889792560366
73,882aa8c1dbfffff,0.3,0.0,0.7008704574266242
74,882aa8c203fffff,0.0,0.0,0.4864752606554031
75,882aa8c207fffff,0.0,0.0,0.1011353864120568
76,882aa8c211fffff,0.48,0.0,0.7050691586903032
77,882aa8c213fffff,0.3636363636363636,0.0,0.7418590933405758
78,882aa8c215fffff,0.0,0.0,0.7561285888262748
79,882aa8c217fffff,0.2,0.0,0.7917019153136705
80,882aa8c219fffff,0.3103448275862069,0.0,0.8609163602433599
81,882aa8c21bfffff,0.1,0.0,0.7572677473100626
82,882aa8c21dfffff,0.0,0.0,0.0481774710529813
83,882aa8c223fffff,0.0,0.0,0.3169231075550852
84,882aa8c231fffff,0.0769230769230769,0.0,0.6350816570424261
