,hex_index,nighttime_business_proportion,nighttime_business_mode,poi_diversity
0,8826641909fffff,0.0,0.0,0.2874439968691681
1,8826641917fffff,0.5,0.0,0.4630662868107812
2,8826641927fffff,0.5,0.0,0.4391510963005363
3,8826641931fffff,1.0,1.0,0.6483793409483344
4,8826641935fffff,0.0,0.0,0.1376499172942323
5,8826641939fffff,0.0,0.0,0.343818453412144
6,882664193bfffff,0.3181818181818182,0.0,0.83276479341795
7,8826641941fffff,0.0,0.0,0.0514146299039496
8,8826641943fffff,0.3333333333333333,0.0,0.5331917213029023
9,8826641945fffff,0.0,0.0,0.0
10,8826641949fffff,0.22,0.0,0.7164194627311098
11,882664194bfffff,0.3333333333333333,0.0,0.6735820406300977
12,882664194dfffff,0.3333333333333333,0.0,0.5442774168380674
13,8826641955fffff,0.4444444444444444,0.0,0.7716148572503195
14,8826641965fffff,0.0,0.0,0.0743309553388854
15,8826641967fffff,1.0,1.0,0.0
16,8826641969fffff,0.0,0.0,0.5680311201589674
17,8826641b21fffff,0.1818181818181818,0.0,0.7424041714874118
18,8826641b25fffff,0.25,0.0,0.7571173814788889
19,8826641b27fffff,0.0,0.0,0.4508080480833077
20,8826641b2dfffff,0.3333333333333333,0.0,0.7807699534004954
21,8826645207fffff,0.3442622950819672,0.0,0.7993904247847778
22,882664520bfffff,0.3396226415094339,0.0,0.7373806078401977
23,8826645211fffff,0.5,0.0,0.8298852962477904
24,8826645215fffff,0.2666666666666666,0.0,0.7374773727075756
25,882664521bfffff,0.4736842105263157,0.0,0.74050374748583
26,882664521dfffff,0.5,0.0,0.7758849107031722
27,8826645239fffff,0.6,1.0,0.6393183556630805
28,882664523dfffff,0.1666666666666666,0.0,0.5203015914652366
29,8826645253fffff,0.6666666666666666,1.0,0.5545118520972888
30,8826645257fffff,0.375,0.0,0.8507589255369032
31,8826645259fffff,0.3461538461538461,0.0,0.8592360884201653
32,882664525bfffff,0.2063492063492063,0.0,0.7930660346666901
